word,row,col,page,identifier
sable,12,34,accueil,sable@accueil
escargot,12,35,accueil,escargot@accueil
réussir,12,36,accueil,réussir@accueil
grenadine,12,37,accueil,grenadine@accueil
dîner,12,38,accueil,dîner@accueil
animal,12,39,accueil,animal@accueil
rayon,12,40,accueil,rayon@accueil
requin,12,41,accueil,requin@accueil
rapidement,12,42,accueil,rapidement@accueil
clair,13,0,accueil,clair@accueil
endroit,13,1,accueil,endroit@accueil
saleté,13,2,accueil,saleté@accueil
araignée,13,3,accueil,araignée@accueil
thé,13,4,accueil,thé@accueil
hôpital,13,5,accueil,hôpital@accueil
bûche,13,6,accueil,bûche@accueil
partir,13,7,accueil,partir@accueil
pamela,13,8,accueil,pamela@accueil
tailler,13,9,accueil,tailler@accueil
beau,13,10,accueil,beau@accueil
tas,13,11,accueil,tas@accueil
étonner,13,12,accueil,étonner@accueil
protecteur,13,13,accueil,protecteur@accueil
vivant,13,14,accueil,vivant@accueil
hérisson,13,15,accueil,hérisson@accueil
protéger,13,16,accueil,protéger@accueil
sortir,13,17,accueil,sortir@accueil
jardinage,13,18,accueil,jardinage@accueil
b,13,19,accueil,b@accueil
caisse,13,20,accueil,caisse@accueil
glisser,13,21,accueil,glisser@accueil
mouton,13,22,accueil,mouton@accueil
saigner,13,23,accueil,saigner@accueil
dinosaure,13,24,accueil,dinosaure@accueil
coq,13,25,accueil,coq@accueil
baguette,13,26,accueil,baguette@accueil
pierre,13,27,accueil,pierre@accueil
offrir,13,28,accueil,offrir@accueil
coller,13,29,accueil,coller@accueil
salle,13,30,accueil,salle@accueil
rose,13,31,accueil,rose@accueil
délice,13,32,accueil,délice@accueil
muscle,13,33,accueil,muscle@accueil
embrasser,13,34,accueil,embrasser@accueil
tapis,13,35,accueil,tapis@accueil
étendre,13,36,accueil,étendre@accueil
jambe,13,37,accueil,jambe@accueil
maternelle,13,38,accueil,maternelle@accueil
visser,13,39,accueil,visser@accueil
mari,13,40,accueil,mari@accueil
moustique,13,41,accueil,moustique@accueil
répéter,13,42,accueil,répéter@accueil
logique,14,0,accueil,logique@accueil
trognon,14,1,accueil,trognon@accueil
bastien,14,2,accueil,bastien@accueil
barrière,14,3,accueil,barrière@accueil
spectacle,14,4,accueil,spectacle@accueil
croquer,14,5,accueil,croquer@accueil
peindre,14,6,accueil,peindre@accueil
yaourt,14,7,accueil,yaourt@accueil
paf,14,8,accueil,paf@accueil
oiseau,14,9,accueil,oiseau@accueil
œil,14,10,accueil,œil@accueil
foot,14,11,accueil,foot@accueil
aube,14,12,accueil,aube@accueil
miou,14,13,accueil,miou@accueil
oreiller,14,14,accueil,oreiller@accueil
dessiner,14,15,accueil,dessiner@accueil
appuyer,14,16,accueil,appuyer@accueil
ventre,14,17,accueil,ventre@accueil
entrer,14,18,accueil,entrer@accueil
genre,14,19,accueil,genre@accueil
image,14,20,accueil,image@accueil
jeu,14,21,accueil,jeu@accueil
arriver,14,22,accueil,arriver@accueil
pouvoir,14,23,accueil,pouvoir@accueil
disparaître,14,24,accueil,disparaître@accueil
cow-boys,14,25,accueil,cow-boys@accueil
pied,14,26,accueil,pied@accueil
d,14,27,accueil,d@accueil
glisse,14,28,accueil,glisse@accueil
viande,14,29,accueil,viande@accueil
trou,14,30,accueil,trou@accueil
biberon,14,31,accueil,biberon@accueil
suite,14,32,accueil,suite@accueil
moquette,14,33,accueil,moquette@accueil
enfiler,14,34,accueil,enfiler@accueil
bague,14,35,accueil,bague@accueil
soulever,14,36,accueil,soulever@accueil
ourson,14,37,accueil,ourson@accueil
mouvement,14,38,accueil,mouvement@accueil
cause,14,39,accueil,cause@accueil
échelle,14,40,accueil,échelle@accueil
toilette,14,41,accueil,toilette@accueil
souris,14,42,accueil,souris@accueil
photo,15,0,accueil,photo@accueil
commandant,15,1,accueil,commandant@accueil
aboyer,15,2,accueil,aboyer@accueil
casser,15,3,accueil,casser@accueil
appartement,15,4,accueil,appartement@accueil
établir,15,5,accueil,établir@accueil
palet,15,6,accueil,palet@accueil
roulotte,15,7,accueil,roulotte@accueil
faim,15,8,accueil,faim@accueil
zézette,15,9,accueil,zézette@accueil
pochette,15,10,accueil,pochette@accueil
